PID^Product Id^Mfr Name^MFr P/N^Price^Coo^Short Description^UPC^UOM,,,,,,,,,,,,
11036776^0295030FMH2S5T_00^FRANKLIN^30FMH2S5T_00^1284^TW^N520870 - FRANKLIN: 30FMH2S5-T - Pump, 2 HP, 3 Ph, 208-230/460V, 5 Stage. 22DE09 ^^EA,,,,,,,,
11014275^02791GRS750_00^BAND-IT^GRS750_00^-450^TW^N492017 - BAND-IT: GRS750 - Manual Cut Off Air Tool, Junior Style Preformed Clamps, CFM @ Full Load 6.7, Required Pressure 100-120 PSI, Air Inlet NPT 1/4 In, Min. Hose Size 3/8 In, Tool Weight 58.1 Lb, For Use With 2LPG8, 2LPG9, 2LPH1 to 2LPH9, 2LPJ1 to ^^EA,,
11352048^03138NS130B_00^NEVER-SEEZ^NS130B_00^1340^TW^Regular Grade Compound, Capacity Wt.: 130 lb, Packing Type: Drum, Temp. Range: -297.0 DegreeF [Min], 1800.0 DegreeF [Max], Color: Silver, Pressure: 32000.00 psi (tensile), Flash Point: 482.00 DegreeF, UNSPSC: 15121515, Standard Pack: 130LB/DRM, Minimum O^^EA,,
11871464^03479H226N_00^SQUARE D^H226N_00^3009^TW^N147746 - SQUARE D: H226N - Safety Switch, Fusible / Nonfusible: Fusible, Duty: Heavy, Amps: 600, Phase: 1, NEMA Enclosure Type: 1, IP Rating: 20, Material of Construction: Steel, Number of Wires: 3, Number of Poles: 2, Contact Form: 2PST," Height: 50""", W^^EA
11924456^034798903SPO4V02_00^SQUARE D^8903SPO4V02_00^1023^TW^N150346 - SQUARE D: 8903SPO4V02 - Lighting Contactor, Contactor Type: Mechanically Held, Number of Poles: 5, Coil Volts: 110/120VAC, Enclosure Type: Open, Full Load Amps-Inductive: 60," Height: 6.22""", Width: 4.94," Depth: 4.94""", Full Load Amps-Resistive: 6^^EA,,,
13076181^03401806489_00^VALVOLINE^806489_00^1692^TW^N690628 - VALVOLINE: 806489 - Partial-Synthetic Grease400 lb.NLGI Grade 00, Color Deep Red, Temp. Range 5 to 400 Degrees F, Flash Point 400, Dropping Point 475, Lithium Complex BaseTacky, Fleet, Agricultural, Mining, Industrial Bearings U-joints Crushers^^EA,,,
12750204^03662DL125_00^BIL-JAX^DL125_00^1055^TW^N389521 - BIL-JAX: DL125 - Drywall Lift, Max. Lifting H 144 In.. 3NZG1 ^^EA,,,,,,,,,,,
12677454^034798538SDA24V81CFF4P1TX11_00^SQUARE D^8538SDA24V81CFF4P1TX11_00^1494^TW^N148264 - SQUARE D: 8538SDA24V81CFF4P1TX11 - Combination Motor Starter, Short Circuit Protection: 60A, NEMA Size: 2, Coil Volts: 120VAC, Hz: 50/60, Amps AC: 45, NEMA Enclosure Type: 3R/12, HP @ 3 Phase - 230V: 15, HP @ 3 Phase - 460V: 25, Auxiliary Conta^^EA,,,
"13532046^04235RPL14RSX_00^EGA^RPL14RSX_00^2700^TW^EGA Platforms with Attached Ramps - 14""H Platform. Platform Height: 14""",Capacity: 450 lbs.,"Ramp Length: 120"". For use where a lower platform is needed for access to machinery or equipment. EGA Platforms with Attached Ramps are 39"" wide overall with 42"" h^^EA",,,,,,,,,,
13532048^04269T83070316L_00^HARVARD PRODUCTS^T83070316L_00^1916^TW^N623062 - HARVARD PRODUCTS: T83070316L - Steel Security Door, Door Type Prehung with No Glass Insert, Lock Type Cylindrical, Frame Type 16-Gauge Stainless Steel, Material 24-Gauge 316 Stainless Steel, Hand Left, Thermal Insulation U-Factor 0.41, Door Ope^^EA,,,,,
12793955^035182271BLUE8X12_00^ANDERSEN^2271BLUE8X12_00^1271^TW^N590012 - ANDERSEN: 2271 BLUE 8X12 - WH Eco Elite(TM) Mat, Indigo, 8 x 12 ft.. 9LNW4 ^^EA,,,,,,,,,,
12854706^034798536SEG1V08_00^SQUARE D^8536SEG1V08_00^1023^TW^N151895 - SQUARE D: 8536SEG1V08 - Magnetic Motor Starter, NEMA, Nonreversing, NEMA Size 3, Coil Volts 208VAC, 60 Hz, Number of Poles 3, 90 Amps AC, HP @ 3 Phase - 208V 25, HP @ 3 Phase - 230V 30, HP @ 3 Phase - 460V 50, HP @ 3 Phase - 575V 50, Height 21.^^EA
17239287^12013IBP12040BD_00^CALPIPE SECURITY BOLLARDS^IBP12040BD_00^1113^TW^N621174 - CALPIPE SECURITY BOLLARDS: IBP12040-B-D - Bollard, Removable, Construction Carbon Steel, Dome Cap, Dia. 12 In., Height 36 In., Thickness .406 In., Color Black, Installation Depth 18 In., For Use With ESR120, ESX120. 18F799 ^^EA,,
12784953^03829HW93802_00^HEIN-WERNER^HW93802_00^1022^TW^N407272 - HEIN-WERNER: HW93802 - Load Leveling Sling, Grade 50, Sling Type Leveling Pulley w/Hooks, Attachment Type Pulley and (2) Sling Hooks, Material Steel, Working Load Limit 4000 lb., Single Capacity 4000 lb., Chain Size 1/2 In., Overall Reach 5-1/2^^EA,,,,
17291063^12971L5AA5S3JK_00^SNAPON INDUSTRIAL^L5AA5S3JK_00^23821^TW^ATC 54IN W/OUT CASTERS 110V, Tool Storage, Roll Cabs," 1 Bank - 29"" ^^EA",,,,,,,,,
12911656^04215906850_00^DAKE CORPORATION^906850_00^20638^TW^N364540 - DAKE CORPORATION: 906850 - Hydraulic Press, Frame Capacity (Tons) 150, Frame Type Welded Channel Iron, Double Acting Cylinder, Cylinder Type Movable, Cylinder Stroke (In.) 16, Ram Travel (In.) 16Hose Size Steel Tube, H-Frame Design, Base Length^^EA,,,,
17610071^12971L5AA5S1JJ_00^SNAPON INDUSTRIAL^L5AA5S1JJ_00^23821^TW^ATC 54IN W/OUT CASTERS 110V, Tool Storage, Roll Cabs," 1 Bank - 29"" ^^EA",,,,,,,,,
17271321^13426ESF1_00^EVEREST^ESF1_00^2914^TW^N238771 - EVEREST: ESF1 - Solid Door Reach-In Freezer. 20CA47 ^^EA,,,,,,,,,,,,
12649737^03490DBR1023EH70_00^APPLETON ELECTRIC^DBR1023EH70_00^3931^TW^N671840 - APPLETON ELECTRIC: DBR1023EH70 - Hazardous Location Receptacle with 480VAC EHD Breaker, Amps: 100, Circuit Breaker Amp Rating: 70, Finish: Epoxy Powder Coat, HP: 30, Material: Copperfree Aluminum, Mounting Box: Copperfree Aluminum, NEMA Rating:^^EA,,,,,
